query_id,query,rank,score,doc_id,hotel_name,reviewer_score,text_excerpt,assessment,notes
1,dirty room and noisy street,1,0.5670919235705474,4514,Novotel Paris Gare De Lyon,5.8,Location No water at room noisy from street,mixed,"Results capture noisy-room complaints well, but only partially match the dirtiness aspect of the query."
1,dirty room and noisy street,2,0.5073763102502347,9473,Saint James Albany Paris Hotel Spa,8.8,Noisy because of the street noise,mixed,"Results capture noisy-room complaints well, but only partially match the dirtiness aspect of the query."
1,dirty room and noisy street,3,0.5059127178615619,7258,Holiday Inn Paris Gare de l Est,7.9,the room was very noisy,mixed,"Results capture noisy-room complaints well, but only partially match the dirtiness aspect of the query."
2,friendly staff and great location,1,1.0,1391,Hilton London Kensington Hotel,9.6,Very friendly staff and great location,strong,Top results are highly aligned and often near-exact matches for staff and location praise.
2,friendly staff and great location,2,1.0,19544,The Cavendish London,8.8,Friendly staff throughout Great location,strong,Top results are highly aligned and often near-exact matches for staff and location praise.
2,friendly staff and great location,3,0.7241604745157093,14459,Luxury Suites Amsterdam,9.6,Very friendly staff with great facility and location,strong,Top results are highly aligned and often near-exact matches for staff and location praise.
3,small bathroom and old furniture,1,0.6612950970879807,19724,Millennium Hotel London Mayfair,4.6,Location old furniture bathroom old,strong,"Results consistently surface old furniture, old bathrooms, and small-room complaints."
3,small bathroom and old furniture,2,0.5087454038071668,18217,Eurostars Grand Marina Hotel GL,6.3,Location Very old furniture,strong,"Results consistently surface old furniture, old bathrooms, and small-room complaints."
3,small bathroom and old furniture,3,0.4998748070927076,12643,Pullman Paris Montparnasse,9.6,location very quiet old furniture,strong,"Results consistently surface old furniture, old bathrooms, and small-room complaints."
4,excellent breakfast and comfortable bed,1,0.5636099002244503,9037,The May Fair Hotel,9.6,excellent breakfast,strong,"Results align well with breakfast and bed comfort, though some hits match only one half of the query."
4,excellent breakfast and comfortable bed,2,0.5444259254068715,659,citizenM Amsterdam,8.3,Excellent breakfast Very clean Very comfortable bed,strong,"Results align well with breakfast and bed comfort, though some hits match only one half of the query."
4,excellent breakfast and comfortable bed,3,0.5295093887887309,2753,The Harmonie Vienna,7.9,Nice Breakfast Comfortable Bed Parking Is Not Easy,strong,"Results align well with breakfast and bed comfort, though some hits match only one half of the query."
5,slow wifi and poor service,1,0.6048741792781999,7457,NH Hesperia Barcelona Presidente,9.6,wifi very poor,mixed,"Wifi complaints are captured strongly, but service quality is not present in every top hit."
5,slow wifi and poor service,2,0.5321246340072584,16905,Silken Ramblas,7.5,Location and bath misuleanus Wifi very poor,mixed,"Wifi complaints are captured strongly, but service quality is not present in every top hit."
5,slow wifi and poor service,3,0.4393136856052738,9296,Le Marceau Bastille,4.2,Bed was very hard Wifi was very poor,mixed,"Wifi complaints are captured strongly, but service quality is not present in every top hit."
6,good hotel,1,1.0000000000000002,6382,Tryp Barcelona Apolo Hotel,7.5,Good hotel,weak,"The query is too generic, so the system returns boilerplate positive snippets instead of discriminative examples."
6,good hotel,2,1.0000000000000002,18742,Hotel Esther a,10.0,very good hotel,weak,"The query is too generic, so the system returns boilerplate positive snippets instead of discriminative examples."
6,good hotel,3,1.0000000000000002,4618,Palais Hansen Kempinski Vienna,10.0,Good hotel,weak,"The query is too generic, so the system returns boilerplate positive snippets instead of discriminative examples."
